Palette Name,Type,Background,Surface/Card,Primary Accent,Secondary Accent,Text Color
Vibrant Nebula Dark,Dark / Professional,#10100f,#1d1e1b,#d5f72b,#72d4e5,#F5F5F5
Muted Horizon Dark,Dark / Professional,#0d0b0c,#1c1819,#ea563f,#72e57f,#F5F5F5
Modern Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#0bdb50,#e52da8,#1A202C
Soft Glacier Bold,Bold / Artistic,#0b2354,#123987,#ffb219,#FFFFFF,#FFFFFF
Silent Steel Bold,Bold / Artistic,#0c405a,#13648d,#ff6619,#FFFFFF,#FFFFFF
Royal Copper Dark,Dark / Professional,#1f1d1d,#2e2b2b,#ec4561,#88e572,#F5F5F5
Soft Midnight Dark,Dark / Professional,#1c1e22,#2a2e34,#286df7,#e5729b,#F5F5F5
Vibrant Steel Light,Light / SaaS,#FFFFFF,#F4F6F8,#c02f2f,#2de5e5,#1A202C
Royal Lagoon Dark,Dark / Professional,#171315,#2a2328,#df1c9e,#c1e572,#F5F5F5
Natural Desert Light,Light / SaaS,#FFFFFF,#F4F6F8,#5623bd,#a8e52d,#1A202C
Muted Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#44c901,#a82de5,#1A202C
Royal Steel Dark,Dark / Professional,#171c1c,#232b2b,#d11717,#75e572,#F5F5F5
Vibrant Quartz Light,Light / SaaS,#FFFFFF,#F4F6F8,#3bda1b,#c62de5,#1A202C
Modern Canvas Bold,Bold / Artistic,#3f043f,#720772,#19ff19,#FFFFFF,#FFFFFF
Modern Forest Light,Light / SaaS,#FFFFFF,#F4F6F8,#213ab7,#e5c62d,#1A202C
Natural Forest Dark,Dark / Professional,#161615,#2e2f2b,#dbc747,#72e5d3,#F5F5F5
Natural Ember Dark,Dark / Professional,#161817,#262928,#4dd1e5,#e572d8,#F5F5F5
Deep Onyx Dark,Dark / Professional,#0e0d0f,#262329,#9a48ec,#e5a972,#F5F5F5
Vibrant Forest Light,Light / SaaS,#FFFFFF,#F4F6F8,#6335bf,#a8e52d,#1A202C
Silent Velvet Dark,Dark / Professional,#0c0d0f,#212327,#464be1,#e57278,#F5F5F5
Slate Frost Light,Light / SaaS,#FFFFFF,#F4F6F8,#e226a3,#2de56b,#1A202C
Elegant Shadow Dark,Dark / Professional,#181918,#272a28,#31f2ab,#b972e5,#F5F5F5
Soft Ember Light,Light / SaaS,#FFFFFF,#F4F6F8,#d62501,#2dc6e5,#1A202C
Elegant Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#c73496,#2de56b,#1A202C
Urban Sunset Dark,Dark / Professional,#111114,#1f1f23,#3166e1,#e57297,#F5F5F5
Natural Nebula Light,Light / SaaS,#FFFFFF,#F4F6F8,#b2127d,#2de56b,#1A202C
Tech Quartz Dark,Dark / Professional,#11100e,#22211d,#def44a,#72d8e5,#F5F5F5
Vintage Desert Light,Light / SaaS,#FFFFFF,#F4F6F8,#09c027,#e52dc6,#1A202C
Electric Obsidian Dark,Dark / Professional,#221e20,#3b3237,#3ef99c,#a972e5,#F5F5F5
Deep Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#bbe003,#4c2de5,#1A202C
Future Quartz Bold,Bold / Artistic,#121f61,#1c3094,#ffd819,#FFFFFF,#FFFFFF
Dark Glacier Dark,Dark / Professional,#171a1c,#23282b,#3173e5,#e5729f,#F5F5F5
Tech Forest Dark,Dark / Professional,#0d0e0d,#1f2321,#e93a92,#aee572,#F5F5F5
Ocean Desert Light,Light / SaaS,#FFFFFF,#F4F6F8,#c56302,#2d89e5,#1A202C
Slate Velvet Bold,Bold / Artistic,#003813,#006b24,#ff19b2,#FFFFFF,#FFFFFF
Ocean Quartz Bold,Bold / Artistic,#0e364a,#185c7d,#ff6619,#FFFFFF,#FFFFFF
Soft Glacier Bold,Bold / Artistic,#4c0026,#7f0140,#19ff8c,#FFFFFF,#FFFFFF
Natural Frost Light,Light / SaaS,#FFFFFF,#F4F6F8,#c2c229,#2d2de5,#1A202C
Zen Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#14aecd,#e54c2d,#1A202C
Dark Desert Light,Light / SaaS,#FFFFFF,#F4F6F8,#0cd14e,#e52da8,#1A202C
Muted Lagoon Dark,Dark / Professional,#181619,#242126,#9249db,#e5a972,#F5F5F5
Urban Iron Dark,Dark / Professional,#131314,#2a292c,#534ef3,#e57472,#F5F5F5
Ocean Copper Light,Light / SaaS,#FFFFFF,#F4F6F8,#c82275,#2de589,#1A202C
Corporate Iron Dark,Dark / Professional,#0e0e0d,#21201f,#4862e4,#e57288,#F5F5F5
Vintage Shadow Bold,Bold / Artistic,#480606,#7b0b0b,#19ffff,#FFFFFF,#FFFFFF
Electric Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#1a68b7,#e5892d,#1A202C
Soft Nebula Dark,Dark / Professional,#0f0f0e,#272622,#1a38cc,#e57288,#F5F5F5
Zen Glacier Dark,Dark / Professional,#21261e,#2f362c,#90fb5b,#729be5,#F5F5F5
Elegant Shadow Light,Light / SaaS,#FFFFFF,#F4F6F8,#c72a78,#2de589,#1A202C
Crimson Quartz Light,Light / SaaS,#FFFFFF,#F4F6F8,#37ceb5,#e52d4c,#1A202C
Ocean Midnight Dark,Dark / Professional,#161818,#262a2b,#47c2db,#e572d4,#F5F5F5
Vibrant Onyx Dark,Dark / Professional,#1f2222,#303536,#1d91f5,#e572b2,#F5F5F5
Elegant Mist Dark,Dark / Professional,#242121,#383332,#fb2441,#84e572,#F5F5F5
Elegant Onyx Dark,Dark / Professional,#181418,#2c252c,#ea40ea,#e5e372,#F5F5F5
Future Steel Dark,Dark / Professional,#181a1b,#25282a,#44a7d9,#e572c1,#F5F5F5
Silent Iron Bold,Bold / Artistic,#0d285d,#153e90,#ffb219,#FFFFFF,#FFFFFF
Natural Canvas Light,Light / SaaS,#FFFFFF,#F4F6F8,#1acd74,#e52d89,#1A202C
Soft Shadow Bold,Bold / Artistic,#331b02,#663505,#198cff,#FFFFFF,#FFFFFF
Modern Forest Light,Light / SaaS,#FFFFFF,#F4F6F8,#59c423,#a82de5,#1A202C
Deep Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#d80f52,#2de5a8,#1A202C
Slate Onyx Light,Light / SaaS,#FFFFFF,#F4F6F8,#bf2d2d,#2de5e5,#1A202C
Silent Lagoon Light,Light / SaaS,#FFFFFF,#F4F6F8,#0fc76b,#e52d89,#1A202C
Muted Shadow Dark,Dark / Professional,#1b1d18,#2c2f27,#6de926,#729fe5,#F5F5F5
Zen Lagoon Dark,Dark / Professional,#0d0e0e,#1a1a1c,#3b59f2,#e57288,#F5F5F5
Soft Shadow Dark,Dark / Professional,#24201f,#332d2c,#5bdff9,#e572d4,#F5F5F5
Soft Onyx Light,Light / SaaS,#FFFFFF,#F4F6F8,#0cba0c,#e52de5,#1A202C
Dark Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#a8c614,#4c2de5,#1A202C
Tech Desert Dark,Dark / Professional,#1a171d,#302b36,#9049d7,#e5a972,#F5F5F5
Silent Iron Light,Light / SaaS,#FFFFFF,#F4F6F8,#2300d2,#c6e52d,#1A202C
Ocean Desert Dark,Dark / Professional,#1b181c,#2e292f,#b01ccd,#e5d072,#F5F5F5
Tech Mist Dark,Dark / Professional,#191916,#292823,#fadf5b,#72e5d0,#F5F5F5
Soft Steel Bold,Bold / Artistic,#0d355e,#145291,#ff8c19,#FFFFFF,#FFFFFF
Corporate Canvas Light,Light / SaaS,#FFFFFF,#F4F6F8,#df00ba,#2de54c,#1A202C
Urban Frost Light,Light / SaaS,#FFFFFF,#F4F6F8,#daa740,#2d6be5,#1A202C
Elegant Horizon Dark,Dark / Professional,#1d201b,#30352d,#971fd3,#e5bc72,#F5F5F5
Future Velvet Dark,Dark / Professional,#1c231f,#27312c,#33de89,#a972e5,#F5F5F5
Silent Sunset Dark,Dark / Professional,#202222,#2d2f2f,#f24141,#75e572,#F5F5F5
Soft Forest Light,Light / SaaS,#FFFFFF,#F4F6F8,#c7c736,#2d2de5,#1A202C
Electric Sunset Dark,Dark / Professional,#10100e,#282723,#3954d7,#e57288,#F5F5F5
Electric Iron Dark,Dark / Professional,#0c0c0d,#1e1f22,#6167fe,#e57278,#F5F5F5
Electric Frost Bold,Bold / Artistic,#1f013d,#390270,#8cff19,#FFFFFF,#FFFFFF
Silent Obsidian Light,Light / SaaS,#FFFFFF,#F4F6F8,#1ecf3c,#e52dc6,#1A202C
Electric Midnight Light,Light / SaaS,#FFFFFF,#F4F6F8,#de2948,#2de5c6,#1A202C
Slate Steel Dark,Dark / Professional,#252022,#342d31,#d922b5,#d0e572,#F5F5F5
Crimson Ember Dark,Dark / Professional,#1a1a15,#312f28,#dcf72c,#72d8e5,#F5F5F5
Future Shadow Light,Light / SaaS,#FFFFFF,#F4F6F8,#32b917,#c62de5,#1A202C
Vibrant Glacier Dark,Dark / Professional,#0d0d0c,#201f1d,#cfc922,#72e5df,#F5F5F5
Crimson Quartz Dark,Dark / Professional,#121011,#252223,#f6489f,#aee572,#F5F5F5
Zen Frost Light,Light / SaaS,#FFFFFF,#F4F6F8,#cd0909,#2de5e5,#1A202C
Vintage Sunset Light,Light / SaaS,#FFFFFF,#F4F6F8,#016bd4,#e5892d,#1A202C
Vibrant Forest Dark,Dark / Professional,#252020,#3e3636,#ee2424,#75e572,#F5F5F5
Slate Horizon Dark,Dark / Professional,#26241f,#34322b,#1b41fe,#e57288,#F5F5F5
Corporate Midnight Dark,Dark / Professional,#141818,#232a2a,#49b4e1,#e572c5,#F5F5F5
Tech Nebula Bold,Bold / Artistic,#034261,#056594,#ff6619,#FFFFFF,#FFFFFF
Dark Nebula Dark,Dark / Professional,#1c1e1d,#2c2f2e,#ee3b77,#9be572,#F5F5F5
Modern Midnight Bold,Bold / Artistic,#300c42,#551675,#66ff19,#FFFFFF,#FFFFFF
Zen Copper Dark,Dark / Professional,#0d0d0d,#1e1c1d,#c14bd4,#e5d372,#F5F5F5
Royal Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#11b965,#e52d89,#1A202C
Soft Ember Dark,Dark / Professional,#171614,#2d2a28,#49a0f7,#e572ae,#F5F5F5
Muted Canvas Bold,Bold / Artistic,#022c41,#044f74,#ff6619,#FFFFFF,#FFFFFF
Urban Obsidian Dark,Dark / Professional,#0d100f,#222725,#3ae2c1,#cc72e5,#F5F5F5
Tech Horizon Light,Light / SaaS,#FFFFFF,#F4F6F8,#3393c3,#e56b2d,#1A202C
Tech Mist Dark,Dark / Professional,#1c181a,#362e30,#e55786,#9be572,#F5F5F5
Dark Nebula Dark,Dark / Professional,#0e0e11,#1b1a20,#3047df,#e57284,#F5F5F5
Slate Iron Dark,Dark / Professional,#121010,#272525,#2cf8f8,#e372e5,#F5F5F5
Zen Obsidian Light,Light / SaaS,#FFFFFF,#F4F6F8,#c86c0f,#2d89e5,#1A202C
Electric Copper Dark,Dark / Professional,#161b18,#27302b,#29e950,#8772e5,#F5F5F5
Tech Mist Bold,Bold / Artistic,#434f09,#6f8210,#3f19ff,#FFFFFF,#FFFFFF
Deep Shadow Dark,Dark / Professional,#1f2520,#2f3930,#42f127,#7284e5,#F5F5F5
Electric Frost Dark,Dark / Professional,#222224,#39393d,#d9d936,#72e5e3,#F5F5F5
Crimson Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#8bcc0a,#6b2de5,#1A202C
Natural Ember Dark,Dark / Professional,#1b201c,#272d28,#ed20cb,#d4e572,#F5F5F5
Dark Ember Bold,Bold / Artistic,#0e194c,#18297f,#ffd819,#FFFFFF,#FFFFFF
Ocean Copper Bold,Bold / Artistic,#3b001e,#6e0037,#19ff8c,#FFFFFF,#FFFFFF
Corporate Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#1499dc,#e56b2d,#1A202C
Silent Nebula Dark,Dark / Professional,#101110,#242726,#1dd742,#8772e5,#F5F5F5
Soft Canvas Dark,Dark / Professional,#191618,#272326,#f21dab,#c1e572,#F5F5F5
Ocean Sunset Dark,Dark / Professional,#251f23,#3e353b,#d63ea4,#c1e572,#F5F5F5
Modern Steel Dark,Dark / Professional,#171915,#2a2e26,#a8cd15,#72d0e5,#F5F5F5
Natural Mist Dark,Dark / Professional,#0c0d0e,#1e2022,#f0b94b,#72e5bc,#F5F5F5
Natural Iron Dark,Dark / Professional,#1f2121,#363939,#1be0bf,#d072e5,#F5F5F5
Royal Velvet Dark,Dark / Professional,#141715,#282f2a,#52f789,#9672e5,#F5F5F5
Soft Lagoon Bold,Bold / Artistic,#381f05,#6b3b0b,#198cff,#FFFFFF,#FFFFFF
Muted Canvas Light,Light / SaaS,#FFFFFF,#F4F6F8,#1457de,#e5a82d,#1A202C
Slate Canvas Dark,Dark / Professional,#191715,#2c2926,#d06247,#72e587,#F5F5F5
Zen Glacier Dark,Dark / Professional,#0e0d0d,#221f1f,#cf3232,#75e572,#F5F5F5
Dark Quartz Dark,Dark / Professional,#111114,#1e1f23,#1c81f6,#e572aa,#F5F5F5
Ocean Iron Light,Light / SaaS,#FFFFFF,#F4F6F8,#03b922,#e52dc6,#1A202C
Modern Frost Dark,Dark / Professional,#0e0e0d,#1c1b1a,#e5e03b,#72e5df,#F5F5F5
Corporate Nebula Bold,Bold / Artistic,#2e5409,#4b870f,#8c19ff,#FFFFFF,#FFFFFF
Electric Iron Bold,Bold / Artistic,#412100,#743b01,#198cff,#FFFFFF,#FFFFFF
Crimson Frost Dark,Dark / Professional,#0e0d0d,#262523,#ce7923,#72e5a9,#F5F5F5
Dark Copper Light,Light / SaaS,#FFFFFF,#F4F6F8,#c0a625,#2d4ce5,#1A202C
Vintage Onyx Bold,Bold / Artistic,#040e40,#071973,#ffd819,#FFFFFF,#FFFFFF
Silent Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#b9233c,#2de5c6,#1A202C
Corporate Steel Bold,Bold / Artistic,#3a3a07,#6d6d0e,#1919ff,#FFFFFF,#FFFFFF
Vibrant Frost Bold,Bold / Artistic,#0f515f,#177d92,#ff3f19,#FFFFFF,#FFFFFF
Vintage Nebula Light,Light / SaaS,#FFFFFF,#F4F6F8,#60bd31,#a82de5,#1A202C
Zen Velvet Dark,Dark / Professional,#171c1a,#252e29,#18e27d,#a972e5,#F5F5F5
Ocean Velvet Dark,Dark / Professional,#0e1111,#191f1f,#1ceeaf,#c072e5,#F5F5F5
Modern Frost Bold,Bold / Artistic,#24550c,#3a8813,#b219ff,#FFFFFF,#FFFFFF
Zen Frost Dark,Dark / Professional,#1b1719,#332b2f,#f55bd6,#d0e572,#F5F5F5
Vintage Onyx Light,Light / SaaS,#FFFFFF,#F4F6F8,#dfbc09,#2d4ce5,#1A202C
Future Forest Bold,Bold / Artistic,#093b54,#0f5f87,#ff6619,#FFFFFF,#FFFFFF
Electric Canvas Bold,Bold / Artistic,#120553,#1d0886,#d8ff19,#FFFFFF,#FFFFFF
Silent Quartz Light,Light / SaaS,#FFFFFF,#F4F6F8,#354dc4,#e5c62d,#1A202C
Zen Iron Bold,Bold / Artistic,#033703,#066a06,#ff19ff,#FFFFFF,#FFFFFF
Future Horizon Bold,Bold / Artistic,#61530a,#947e10,#193fff,#FFFFFF,#FFFFFF
Soft Mist Dark,Dark / Professional,#1b1516,#312729,#45cdb6,#d072e5,#F5F5F5
Muted Quartz Dark,Dark / Professional,#221b20,#362b33,#1bd057,#9672e5,#F5F5F5
Crimson Midnight Light,Light / SaaS,#FFFFFF,#F4F6F8,#64b513,#892de5,#1A202C
Dark Mist Dark,Dark / Professional,#111212,#242626,#3aacdd,#e572c5,#F5F5F5
Tech Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#ce391b,#2dc6e5,#1A202C
Tech Glacier Dark,Dark / Professional,#1c1d20,#2e3033,#dead4a,#72e5bc,#F5F5F5
Modern Onyx Bold,Bold / Artistic,#4e0d38,#81165d,#19ff65,#FFFFFF,#FFFFFF
Future Forest Dark,Dark / Professional,#100f10,#211f21,#eb2aeb,#e5e372,#F5F5F5
Silent Nebula Dark,Dark / Professional,#111211,#1f211e,#52e466,#7f72e5,#F5F5F5
Natural Onyx Dark,Dark / Professional,#131113,#2b2729,#e84ab3,#c1e572,#F5F5F5
Dark Obsidian Bold,Bold / Artistic,#085038,#0d835c,#ff1966,#FFFFFF,#FFFFFF
Urban Horizon Dark,Dark / Professional,#1d2122,#32383b,#1f61d3,#e5729f,#F5F5F5
Future Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#14d534,#e52dc6,#1A202C
Vibrant Copper Bold,Bold / Artistic,#101b55,#192c88,#ffd819,#FFFFFF,#FFFFFF
Vibrant Frost Bold,Bold / Artistic,#180a35,#301468,#b2ff19,#FFFFFF,#FFFFFF
Future Velvet Dark,Dark / Professional,#1f1b20,#342e38,#661be8,#e59a72,#F5F5F5
Silent Glacier Dark,Dark / Professional,#222420,#343731,#4ed92b,#728be5,#F5F5F5
Crimson Lagoon Light,Light / SaaS,#FFFFFF,#F4F6F8,#a8c324,#4c2de5,#1A202C
Dark Lagoon Dark,Dark / Professional,#0f1112,#222527,#438ed9,#e572ae,#F5F5F5
Zen Quartz Dark,Dark / Professional,#1c1e1c,#2f312f,#24cf57,#9272e5,#F5F5F5
Slate Copper Bold,Bold / Artistic,#4f0d18,#821628,#19ffd8,#FFFFFF,#FFFFFF
Electric Steel Bold,Bold / Artistic,#44051a,#77092d,#19ffb2,#FFFFFF,#FFFFFF
Corporate Frost Dark,Dark / Professional,#121110,#282624,#3395f6,#e572ae,#F5F5F5
Vintage Sunset Dark,Dark / Professional,#1b1a1a,#312f2e,#d25536,#72e587,#F5F5F5
Deep Lagoon Dark,Dark / Professional,#22211f,#32312e,#e6ac39,#72e5bc,#F5F5F5
Ocean Sunset Dark,Dark / Professional,#111413,#252b29,#52f38d,#9a72e5,#F5F5F5
Silent Shadow Dark,Dark / Professional,#1e1f1c,#373934,#9bd22d,#72c1e5,#F5F5F5
Corporate Quartz Dark,Dark / Professional,#1b1d1c,#2a2d2b,#4ad8a4,#b972e5,#F5F5F5
Muted Frost Dark,Dark / Professional,#111211,#212220,#3bcf16,#728be5,#F5F5F5
Tech Iron Dark,Dark / Professional,#201f21,#2f2d30,#641ce0,#e59a72,#F5F5F5
Royal Velvet Bold,Bold / Artistic,#55640b,#819711,#3f19ff,#FFFFFF,#FFFFFF
Silent Nebula Dark,Dark / Professional,#1a1619,#2b2429,#4be27e,#9672e5,#F5F5F5
Tech Horizon Dark,Dark / Professional,#0d0d0c,#1b1c19,#95d517,#72c1e5,#F5F5F5
Natural Midnight Light,Light / SaaS,#FFFFFF,#F4F6F8,#295fca,#e5a82d,#1A202C
Deep Lagoon Dark,Dark / Professional,#161215,#2d262c,#2cf94e,#8372e5,#F5F5F5
Elegant Ember Light,Light / SaaS,#FFFFFF,#F4F6F8,#e0e00e,#2d2de5,#1A202C
Royal Nebula Dark,Dark / Professional,#191b18,#30342d,#8721ed,#e5a972,#F5F5F5
