Palette Name,Type,Background,Surface/Card,Primary Accent,Secondary Accent,Text Color
"Summer Dusk","Bold / Artistic",#0C2C55,#296374,#629FAD,#EDEDCE,#FFFFFF
"Shadow Realm","Pastel / Soft",#F63049,#D02752,#8A244B,#111F35,#FFFFFF
"Neon Echo","Cool / Fresh",#213C51,#6594B1,#DDAED3,#EEEEEE,#FFFFFF
"Azure Wave","Earth / Nature",#5DD3B6,#6E5034,#CDB885,#EFE1B5,#000000
"Ocean Flux","Minimal / Clean",#0E21A0,#4D2FB2,#B153D7,#F375C2,#FFFFFF
"Retro Flare","Light Mode",#F5FBE6,#215E61,#233D4D,#FE7F2D,#000000
"Ocean Aura","Neon / Cyberpunk",#005461,#0C7779,#249E94,#3BC1A8,#FFFFFF
"Crimson Frost","Corporate / Tech",#000000,#9929EA,#FF5FCF,#FAEB92,#FFFFFF
"Desert Dream","Bold / Artistic",#574964,#9F8383,#C8AAAA,#FFDAB3,#FFFFFF
"Velvet Storm","Corporate / Tech",#A8DF8E,#F0FFDF,#FFD8DF,#FFAAB8,#000000
"Winter Glow","Minimal / Clean",#FA5C5C,#FD8A6B,#FEC288,#FBEF76,#000000
"Velvet Dawn","Neon / Cyberpunk",#36656B,#75B06F,#DAD887,#F0F8A4,#FFFFFF
"Retro Pulse","Light Mode",#6E026F,#ABDADC,#F1E6C9,#FA891A,#FFFFFF
"Tech Frost","Light Mode",#00F7FF,#B0FFFA,#FF0087,#FF7DB0,#000000
"Cosmic Nights","Cool / Fresh",#EA7B7B,#D25353,#9E3B3B,#FFEAD3,#000000
"Tech Dawn","Earth / Nature",#2D3C59,#94A378,#E5BA41,#D1855C,#FFFFFF
"Vintage Echo","Warm / Cozy",#061E29,#1D546D,#5F9598,#F3F4F4,#FFFFFF
"Emerald Vibes","Corporate / Tech",#BBE0EF,#161E54,#F16D34,#FF986A,#000000
"Royal Aura","Corporate / Tech",#FFFDE1,#FBE580,#93BD57,#980404,#000000
"Ocean Glow","Cool / Fresh",#3F9AAE,#79C9C5,#FFE2AF,#F96E5B,#000000
"Ocean Dream","Cool / Fresh",#0F2854,#1C4D8D,#4988C4,#BDE8F5,#FFFFFF
"Ocean Echo","Corporate / Tech",#5C6F2B,#DE802B,#D8C9A7,#EEEEEE,#FFFFFF
"Ocean Breeze","Dark Mode",#4D2B8C,#85409D,#EEA727,#FFEF5F,#FFFFFF
"Summer Spark","Bold / Artistic",#000080,#FF0000,#9E2A3A,#3A2525,#FFFFFF
"Desert Dawn","Corporate / Tech",#F5F2F2,#FEB05D,#5A7ACD,#2B2A2A,#000000
"Midnight Dusk","Bold / Artistic",#FFD41D,#FFA240,#D73535,#FF4646,#000000
"Winter Spark","Light Mode",#FDB5CE,#132440,#16476A,#3B9797,#000000
"Midnight Glow","Corporate / Tech",#F6F0D7,#C5D89D,#9CAB84,#89986D,#000000
"Vintage Dream","Neon / Cyberpunk",#EBE1D1,#41644A,#0D4715,#E9762B,#000000
"Autumn Spark","Cool / Fresh",#91C6BC,#4B9DA9,#F6F3C2,#E37434,#000000
"Crystal Dream","Pastel / Soft",#97A87A,#A8BBA3,#FCF9EA,#FFA239,#000000
"Summer Vibes","Earth / Nature",#EBF4DD,#90AB8B,#5A7863,#3B4953,#000000
"Vintage Aura","Neon / Cyberpunk",#213448,#547792,#94B4C1,#EAE0CF,#FFFFFF
"Neon Frost","Neon / Cyberpunk",#B8DB80,#F7F6D3,#FFE4EF,#F39EB6,#000000
"Winter Horizon","Neon / Cyberpunk",#001F3D,#ED985F,#F7B980,#E6E6E6,#FFFFFF
"Cosmic Aura","Pastel / Soft",#5A9CB5,#FACE68,#FAAC68,#FA6868,#000000
"Sunset Wave","Cool / Fresh",#8A8635,#AA2B1D,#CC561E,#F3CF7A,#FFFFFF
"Cyber Echo","Bold / Artistic",#6AECE1,#26CCC2,#FFF57E,#FFB76C,#000000
"Crystal Storm","Light Mode",#005461,#018790,#00B7B5,#F4F4F4,#FFFFFF
"Crystal Realm","Dark Mode",#1B211A,#628141,#8BAE66,#EBD5AB,#FFFFFF
"Royal Pulse","Light Mode",#BBCB64,#FFE52A,#F79A19,#CF0F0F,#000000
"Pastel Spark","Corporate / Tech",#434E78,#607B8F,#F7E396,#E97F4A,#FFFFFF
"Cosmic Wave","Cool / Fresh",#FCF8F8,#FBEFEF,#F9DFDF,#F5AFAF,#000000
"Shadow Core","Earth / Nature",#360185,#8F0177,#DE1A58,#F4B342,#FFFFFF
"Summer Echo","Corporate / Tech",#FEEAC9,#FFCDC9,#FDACAC,#FD7979,#000000
"Spring Spark","Light Mode",#3291B6,#BB8ED0,#E0A8A8,#F1E2E2,#FFFFFF
"Golden Breeze","Earth / Nature",#F29AAE,#C47BE4,#7132CA,#301CA0,#000000
"Desert Shift","Corporate / Tech",#9CC6DB,#FCF6D9,#CF4B00,#DDBA7D,#000000
"Silver Dawn","Cool / Fresh",#050E3C,#002455,#DC0000,#FF3838,#FFFFFF
"Autumn Shift","Bold / Artistic",#1B3C53,#234C6A,#456882,#E3E3E3,#FFFFFF
"Pastel Nights","Warm / Cozy",#6DC3BB,#393D7E,#5459AC,#F2AEBB,#000000
"Vintage Core","Dark Mode",#FAF3E1,#F5E7C6,#FF6D1F,#222222,#000000
"Tech Storm","Bold / Artistic",#F6B1CE,#1581BF,#3DB6B1,#CCE5CF,#000000
"Cosmic Nights","Bold / Artistic",#E2852E,#F5C857,#FFEE91,#ABE0F0,#000000
"Spring Echo","Minimal / Clean",#FF5555,#FF937E,#C1E59F,#A3D78A,#000000
"Vintage Flare","Light Mode",#5A0E24,#76153C,#BF124D,#67B2D8,#FFFFFF
"Royal Storm","Bold / Artistic",#452829,#57595B,#E8D1C5,#F3E8DF,#FFFFFF
"Azure Horizon","Warm / Cozy",#F875AA,#FDEDED,#EDFFF0,#AEDEFC,#000000
"Azure Core","Dark Mode",#D7C097,#E7DEAF,#73AF6F,#007E6E,#000000
"Ocean Dusk","Cool / Fresh",#D34E4E,#F9E7B2,#DDC57A,#CE7E5A,#FFFFFF
"Velvet Shift","Warm / Cozy",#F1F3E0,#D2DCB6,#A1BC98,#778873,#000000
"Spring Spark","Light Mode",#E67E22,#628141,#8BAE66,#EBD5AB,#000000
"Vintage Nights","Light Mode",#FFF2C6,#FFF8DE,#AAC4F5,#8CA9FF,#000000
"Pastel Spark","Earth / Nature",#BF1A1A,#FF6C0C,#FFE08F,#060771,#FFFFFF
"Summer Spark","Warm / Cozy",#F8F4EC,#FF8FB7,#E83C91,#43334C,#000000
"Winter Nights","Neon / Cyberpunk",#8CE4FF,#FEEE91,#FFA239,#FF5656,#000000
"Crystal Glow","Neon / Cyberpunk",#FCF5EE,#FFC4C4,#EE6983,#850E35,#000000
"Summer Shift","Earth / Nature",#540863,#92487A,#E49BA6,#FFD3D5,#FFFFFF
"Royal Flare","Pastel / Soft",#62109F,#DC0E0E,#FE6244,#FFDEB9,#FFFFFF
"Vintage Dusk","Warm / Cozy",#F9F8F6,#EFE9E3,#D9CFC7,#C9B59C,#000000
"Vintage Echo","Light Mode",#473472,#53629E,#87BAC3,#D6F4ED,#FFFFFF
"Royal Storm","Bold / Artistic",#001BB7,#0046FF,#FF8040,#F5F1DC,#FFFFFF
"Azure Vibes","Warm / Cozy",#313647,#435663,#A3B087,#FFF8D4,#FFFFFF
"Tech Breeze","Dark Mode",#EFECE3,#8FABD4,#4A70A9,#000000,#000000
"Sunset Flux","Warm / Cozy",#F0E491,#BBC863,#658C58,#31694E,#000000
"Midnight Horizon","Pastel / Soft",#A8BBA3,#B87C4C,#C4A484,#F7F1DE,#000000
"Golden Aura","Pastel / Soft",#B7E5CD,#8ABEB9,#305669,#C1785A,#000000
"Autumn Flux","Earth / Nature",#0C2B4E,#1A3D64,#1D546C,#F4F4F4,#FFFFFF
"Autumn Frost","Pastel / Soft",#9BB4C0,#E1D0B3,#A18D6D,#703B3B,#000000
"Pastel Pulse","Minimal / Clean",#84994F,#FFE797,#FCB53B,#A72703,#000000
"Ocean Storm","Warm / Cozy",#F5E5E1,#F9B487,#427A76,#174143,#000000
"Azure Pulse","Corporate / Tech",#FDE7B3,#FFC50F,#63A361,#5B532C,#000000
"Pastel Aura","Bold / Artistic",#ECF4E8,#CBF3BB,#ABE7B2,#93BFC7,#000000
"Retro Storm","Bold / Artistic",#1A2A4F,#F7A5A5,#FFDBB6,#FFF2EF,#FFFFFF
"Golden Shift","Warm / Cozy",#FF8F8F,#FFF1CB,#C2E2FA,#B7A3E3,#000000
"Emerald Dawn","Earth / Nature",#11224E,#F87B1B,#CBD99B,#EEEEEE,#FFFFFF
"Retro Wave","Dark Mode",#F4F754,#E9D484,#CFADC1,#4E61D3,#000000
"Neon Pulse","Dark Mode",#758A93,#ECD5BC,#E9B63B,#C66E52,#000000
"Forest Breeze","Light Mode",#CD2C58,#E06B80,#FFC69D,#FFE6D4,#FFFFFF
"Midnight Core","Cool / Fresh",#016B61,#70B2B2,#9ECFD4,#E5E9C5,#FFFFFF
"Summer Core","Corporate / Tech",#B77466,#FFE1AF,#E2B59A,#957C62,#000000
"Velvet Nights","Light Mode",#777C6D,#B7B89F,#CBCBCB,#EEEEEE,#FFFFFF
"Velvet Spark","Bold / Artistic",#450693,#8C00FF,#FF3F7F,#FFC400,#FFFFFF
"Shadow Breeze","Minimal / Clean",#FFF58A,#FFBBE1,#DD7BDF,#B3BFFF,#000000
"Sunset Vibes","Light Mode",#B6AE9F,#C5C7BC,#DEDED1,#FBF3D1,#000000
"Ocean Vibes","Cool / Fresh",#FFFD8F,#B0CE88,#4C763B,#043915,#000000
"Tech Core","Minimal / Clean",#BF092F,#132440,#16476A,#3B9797,#FFFFFF
"Azure Storm","Minimal / Clean",#F5AD18,#9E1C60,#811844,#561530,#000000
"Pastel Aura","Warm / Cozy",#F25912,#5C3E94,#412B6B,#211832,#FFFFFF
"Sunset Flare","Light Mode",#7B542F,#B6771D,#FF9D00,#FFCF71,#FFFFFF
"Emerald Dawn","Light Mode",#FCF9EA,#BADFDB,#FFA4A4,#FFBDBD,#000000
"Autumn Shift","Warm / Cozy",#41A67E,#05339C,#1055C9,#E5C95F,#000000
"Cyber Horizon","Corporate / Tech",#662222,#842A3B,#A3485A,#F5DAA7,#FFFFFF
"Ocean Vibes","Dark Mode",#4E56C0,#9B5DE0,#D78FEE,#FDCFFA,#FFFFFF
"Winter Frost","Bold / Artistic",#80A1BA,#91C4C3,#B4DEBD,#FFF7DD,#000000
"Forest Realm","Dark Mode",#432323,#2F5755,#5A9690,#E0D9D9,#FFFFFF
"Ocean Dream","Warm / Cozy",#0046FF,#73C8D2,#F5F1DC,#FF9013,#FFFFFF
"Velvet Pulse","Dark Mode",#D97D55,#F4E9D7,#B8C4A9,#6FA4AF,#000000
"Summer Flux","Bold / Artistic",#F5F5F0,#E6D8C3,#C2A68C,#5D866C,#000000
"Shadow Realm","Pastel / Soft",#FAF8F1,#FAEAB1,#34656D,#334443,#000000
"Ocean Flare","Minimal / Clean",#696FC7,#A7AAE1,#F5D3C4,#F2AEBB,#FFFFFF
"Silver Horizon","Pastel / Soft",#E2A16F,#FFF0DD,#D1D3D4,#86B0BD,#000000
"Silver Dawn","Light Mode",#3C467B,#50589C,#636CCB,#6E8CFB,#FFFFFF
"Desert Glow","Neon / Cyberpunk",#FEF3E2,#FAB12F,#FA812F,#DD0303,#000000
"Emerald Dawn","Minimal / Clean",#1B3C53,#234C6A,#456882,#D2C1B6,#FFFFFF
"Retro Core","Earth / Nature",#134686,#ED3F27,#FEB21A,#FDF4E3,#FFFFFF
"Forest Dusk","Corporate / Tech",#F9F5F0,#F2EAD3,#F4991A,#344F1F,#000000
"Forest Dawn","Dark Mode",#000B58,#003161,#006A67,#FDEB9E,#FFFFFF
"Cyber Pulse","Minimal / Clean",#6B3F69,#8D5F8C,#A376A2,#DDC3C3,#FFFFFF
"Vintage Dusk","Earth / Nature",#FFECC0,#FFC29B,#F39F9F,#B95E82,#000000
"Royal Storm","Cool / Fresh",#3B0270,#6F00FF,#E9B3FB,#FFF1F1,#FFFFFF
"Retro Dream","Bold / Artistic",#59AC77,#3A6F43,#FDAAAA,#FFD5D5,#000000
"Retro Aura","Light Mode",#96A78D,#B6CEB4,#D9E9CF,#F0F0F0,#000000
"Neon Vibes","Light Mode",#3E1E68,#5D2F77,#E45A92,#FFACAC,#FFFFFF
"Sunset Flux","Light Mode",#F5D2D2,#F8F7BA,#BDE3C3,#A3CCDA,#000000
"Crimson Aura","Light Mode",#A8FBD3,#4FB7B3,#637AB9,#31326F,#000000
"Vintage Pulse","Cool / Fresh",#F5EFE6,#E8DFCA,#6D94C5,#CBDCEB,#000000
"Autumn Glow","Cool / Fresh",#19183B,#708993,#A1C2BD,#E7F2EF,#FFFFFF
"Spring Flux","Corporate / Tech",#84994F,#FFE797,#FCB53B,#B45253,#000000
"Sunset Nights","Bold / Artistic",#476EAE,#48B3AF,#A7E399,#F6FF99,#FFFFFF
"Tech Vibes","Neon / Cyberpunk",#EF7722,#FAA533,#EBEBEB,#0BA6DF,#000000
"Golden Flux","Corporate / Tech",#DC143C,#F75270,#F7CAC9,#FDEBD0,#FFFFFF
"Sunset Wave","Pastel / Soft",#647FBC,#91ADC8,#AED6CF,#FAFDD6,#FFFFFF
"Summer Dream","Minimal / Clean",#F08787,#FFC7A7,#FEE2AD,#F8FAB4,#000000
"Tech Breeze","Cool / Fresh",#000000,#5682B1,#739EC9,#FFE8DB,#FFFFFF
"Azure Aura","Cool / Fresh",#556B2F,#8FA31E,#C6D870,#EFF5D2,#FFFFFF
"Ocean Dawn","Warm / Cozy",#3396D3,#FFF0CE,#EBCB90,#EEEEEE,#FFFFFF
"Cyber Echo","Bold / Artistic",#A8BBA3,#F7F4EA,#EBD9D1,#B87C4C,#000000
"Pastel Frost","Light Mode",#9A3F3F,#C1856D,#E6CFA9,#FBF9D1,#FFFFFF
"Neon Flare","Corporate / Tech",#9112BC,#AE75DA,#E9E294,#FFFCB8,#FFFFFF
"Shadow Dream","Minimal / Clean",#E62727,#F3F2EC,#DCDCDC,#1E93AB,#FFFFFF
"Cosmic Glow","Warm / Cozy",#5D688A,#F7A5A5,#FFDBB6,#FFF2EF,#FFFFFF
"Midnight Breeze","Bold / Artistic",#DDF4E7,#67C090,#26667F,#124170,#000000
"Silver Flare","Pastel / Soft",#F6F1E9,#FFD93D,#FF9A00,#4F200D,#000000
"Silver Realm","Earth / Nature",#37353E,#44444E,#715A5A,#D3DAD9,#FFFFFF
"Azure Shift","Warm / Cozy",#896C6C,#E5BEB5,#EEE6CA,#F5FAE1,#FFFFFF
"Autumn Shift","Minimal / Clean",#FF0066,#6A0066,#934790,#E8D4B7,#FFFFFF
"Royal Aura","Earth / Nature",#3338A0,#C59560,#FCC61D,#F7F7F7,#FFFFFF
"Azure Dawn","Corporate / Tech",#0D1164,#640D5F,#EA2264,#F78D60,#FFFFFF
"Golden Aura","Earth / Nature",#BBDCE5,#ECEEDF,#D9C4B0,#CFAB8D,#000000
"Ocean Shift","Light Mode",#0F0E0E,#541212,#468A9A,#EEEEEE,#FFFFFF
"Golden Core","Cool / Fresh",#E4004B,#ED775A,#FAD691,#C9CDCF,#FFFFFF
"Summer Glow","Minimal / Clean",#FF714B,#C71E64,#4D2D8C,#F2F2F2,#000000
"Spring Aura","Pastel / Soft",#3E0703,#660B05,#8C1007,#FFF0C4,#FFFFFF
"Summer Dusk","Minimal / Clean",#154D71,#1C6EA4,#33A1E0,#FFF9AF,#FFFFFF
"Azure Shift","Dark Mode",#08CB00,#253900,#000000,#EEEEEE,#FFFFFF
"Retro Core","Warm / Cozy",#FFF5F2,#F5BABB,#568F87,#064232,#000000
"Forest Aura","Neon / Cyberpunk",#FF9B00,#FFE100,#FFC900,#EBE389,#000000
"Desert Flux","Earth / Nature",#CADCAE,#E1E9C9,#EDA35A,#FEE8D9,#000000
"Velvet Wave","Pastel / Soft",#D6A99D,#FBF3D5,#D6DAC8,#9CAFAA,#000000
"Sunset Pulse","Neon / Cyberpunk",#1C352D,#A6B28B,#F5C9B0,#F9F6F3,#FFFFFF
"Cyber Dawn","Cool / Fresh",#E43636,#F6EFD2,#E2DDB4,#000000,#FFFFFF
